year,age,length_mm,dry_weight_mg
2016,10,9.288,1.8195874156478902
2016,9,10.195,2.620556279471816
2016,13,14.951,11.732524793237932
2016,16,14.336,9.953437073381185
2016,7,14.336,9.953437073381185
2016,14,14.068,9.244579748009862
2016,11,13.675,8.273952089282366
2016,9,12.095,5.1163409373431294
2016,10,11.58,4.314957229041242
2016,5,6.334,0.40656228290913426
2016,6,6.834,0.5474065759370449
2016,10,9.808,2.2521378787507933
2016,2,6.59,0.47478160402262937
2016,8,5.693,0.267743058313677
2016,3,6.73,0.5155092490925915
2016,7,8.076,1.0525216549593197
2016,9,8.58,1.3340134771238268
2016,11,11.543,4.261231990159887
2016,7,9.563,2.0397812956521273
2016,7,9.588,2.0607376438843144
2016,8,8.294,1.1682039401110313
2016,7,7.643,0.8482727101284476
2016,6,7.392,0.7443214789001483
2016,9,10.279,2.706108004132326
2016,8,10.936,3.448962868827815
2016,14,11.063,3.608443729357304
2016,12,9.175,1.7344439136496128
2016,6,9.866,2.3047293649569536
2016,8,10.777,3.256767058536002
2016,8,9.611,2.0801586790327726
2016,7,11.394,4.049905293502852
2016,4,9.422,1.924543453637494
2016,9,11.286,3.9016810565604176
2016,8,9.015,1.6190054932630507
2016,11,11.728,4.534916323467527
2016,4,9.264,1.8012491725099697
2016,6,9.461,1.9559196352287902
2016,6,10.823,3.3115290411525247
2016,11,12.28,5.429615691128711
2016,10,13.033,6.854192424687786
2016,6,10.347,2.77687322763832
2016,12,12.085,5.099799928732341
2016,13,11.936,4.858024792639389
2016,9,7.666,0.8583104410957552
2016,12,8.55,1.315845272135923
2016,5,8.381,1.2169162806044131
2016,10,11.53,4.242474330685561
2016,11,9.477,1.9689014683608352
2016,6,8.578,1.3327964867600155
2016,8,8.949,1.573094035337402
2016,8,9.191,1.7463155231918988
2016,9,9.699,2.155725857346043
2016,7,10.299,2.726780238087159
2016,5,7.204,0.672912408796115
2016,6,11.932,4.851654189636735
2016,8,9.054,1.6465995947529983
2016,6,8.591,1.34072172041344
2016,6,7.556,0.8110926511634795
2016,6,8.307,1.175388857049675
2016,7,7.082,0.62938722200618
2016,5,5.357,0.21100159137788493
2016,5,9.935,2.368479891650648
2016,8,8.67,1.3896398249636053
2016,13,13.068,6.926537865572152
2016,8,7.597,0.8284597435975537
2016,11,11.312,3.9369891900326714
2016,7,8.738,1.4328001664046917
2016,13,10.349,2.7789751937766813
2016,7,8.879,1.5254668148990609
2016,7,10.552,2.9985628690248523
2016,12,9.092,1.673821500462729
2016,7,8.443,1.2525423396256896
2016,6,8.905,1.5430297409085008
2016,8,9.018,1.6211158032279687
2016,8,10.671,3.133145255546381
2016,14,13.53,7.935756964075164
2016,14,10.888,3.3900752972500108
2016,14,12.184,5.265321639944699
2016,11,10.359,2.789502800048046
2016,8,9.875,2.312971324446631
2016,8,10.421,2.855438232531984
2016,13,10.833,3.3235239645294894
2016,13,12.402,5.64387772890815
2016,13,13.129,7.053982670741603
2016,8,10.403,2.8361774408819103
2016,12,10.349,2.7789751937766813
2016,3,8.871,1.520092908532779
2016,10,9.148,1.7145469644493114
2016,7,7.979,1.0038890703927792
2016,6,8.132,1.0813846202659683
2016,9,7.728,0.8858092972093125
2016,14,11.927,4.843699685579481
2016,7,9.814,2.257536523353936
2016,8,9.646,2.109973489369157
2016,7,10.922,3.4317092819617407
2016,5,9.592,2.064105476514567
2016,11,9.153,1.7182186962592914
2016,12,10.722,3.1921791271582363
2016,6,9.172,1.7322246942894306
2016,8,11.258,3.863921162840976
2016,6,8.462,1.263613806399341
2016,8,9.81,2.253936357674229
2016,9,11.197,3.7826011948224054
2016,7,10.679,3.142351270506678
2016,19,13.904,8.829775103061616
2016,8,9.041,1.6373629624037023
2016,7,10.442,2.87803205792162
2016,10,10.683,3.1469618231962873
2016,12,12.041,5.027492061383572
2016,7,9.658,2.120268578759815
2016,7,11.064,3.6097208620051786
2016,13,11.996,4.954333237986726
2016,13,12.071,5.076709450824681
2016,14,13.797,8.566717505599758
2016,10,13.206,7.217338873390284
2016,11,12.284,5.4365430655213185
2016,17,13.313,7.448996308005587
2016,8,10.46,2.8975039064500643
2016,6,10.271,2.6978718714216976
2016,10,11.579,4.313498599382471
2016,8,10.833,3.3235239645294894
2016,10,10.382,2.813828967830747
